ts,zone_id,flights_arrivals_30m,trains_arrivals_30m,cinema_outflow_30m,events_score,weather_code,rainfall_mm,temp_c
2025-07-31T20:00:00,Ashram Road,0,0,0,0,0,0.0,33.8
2025-07-31T20:00:00,Bopal,0,0,0,0,1,0.0,33.8
2025-07-31T20:00:00,Ellis Bridge,0,0,0,0,0,0.0,33.8
2025-07-31T20:00:00,Gita Mandir,0,2,0,0,0,0.0,33.8
2025-07-31T20:00:00,Gota,0,0,0,0,0,0.0,33.8
2025-07-31T20:00:00,Hansol/Airport,0,0,0,0,0,0.0,33.8
2025-07-31T20:00:00,IIM-A,0,0,0,0,0,0.0,33.8
2025-07-31T20:00:00,Jivraj,0,0,0,0,1,0.0,33.8
2025-07-31T20:00:00,Kalupur,0,2,0,0,1,0.0,33.8
2025-07-31T20:00:00,Maninagar,0,0,0,0,0,0.0,33.8
2025-07-31T20:00:00,Memnagar,0,0,0,0,1,0.0,33.8
2025-07-31T20:00:00,Motera,0,0,0,0,0,0.0,33.8
2025-07-31T20:00:00,Navrangpura,0,0,0,0,1,0.0,33.8
2025-07-31T20:00:00,Old City,0,0,0,0,1,0.0,33.8
2025-07-31T20:00:00,Prahladnagar,0,0,0,0,0,0.0,33.8
2025-07-31T20:00:00,Riverfront,0,0,0,0,0,0.0,33.8
2025-07-31T20:00:00,SG Highway,0,0,0,0,0,0.0,33.8
2025-07-31T20:00:00,Shyamal,0,0,0,0,0,0.0,33.8
2025-07-31T20:00:00,Sindhu Bhavan,0,0,0,0,0,0.0,33.8
2025-07-31T20:00:00,Sola/Science City,0,0,0,0,0,0.0,33.8
2025-07-31T20:00:00,Thaltej,0,0,0,0,1,0.0,33.8
2025-07-31T20:00:00,Vastrapur,0,0,0,0,0,0.0,33.8
2025-07-31T20:30:00,Ashram Road,0,0,0,0,0,0.0,25.8
2025-07-31T20:30:00,Bopal,0,0,0,0,1,0.0,25.8
2025-07-31T20:30:00,Ellis Bridge,0,0,0,0,0,0.0,25.8
2025-07-31T20:30:00,Gita Mandir,0,2,0,0,1,0.0,25.8
2025-07-31T20:30:00,Gota,0,0,0,0,1,0.0,25.8
2025-07-31T20:30:00,Hansol/Airport,0,0,0,0,1,0.0,25.8
2025-07-31T20:30:00,IIM-A,0,0,0,0,1,0.0,25.8
2025-07-31T20:30:00,Jivraj,0,0,0,0,0,0.0,25.8
2025-07-31T20:30:00,Kalupur,0,2,0,0,0,0.0,25.8
2025-07-31T20:30:00,Maninagar,0,0,0,0,0,0.0,25.8
2025-07-31T20:30:00,Memnagar,0,0,0,0,0,0.0,25.8
2025-07-31T20:30:00,Motera,0,0,0,0,0,0.0,25.8
2025-07-31T20:30:00,Navrangpura,0,0,0,0,0,0.0,25.8
2025-07-31T20:30:00,Old City,0,0,0,0,0,0.0,25.8
2025-07-31T20:30:00,Prahladnagar,0,0,0,0,0,0.0,25.8
2025-07-31T20:30:00,Riverfront,0,0,0,0,0,0.0,25.8
2025-07-31T20:30:00,SG Highway,0,0,0,0,0,0.0,25.8
2025-07-31T20:30:00,Shyamal,0,0,0,0,0,0.0,25.8
2025-07-31T20:30:00,Sindhu Bhavan,0,0,0,0,1,0.0,25.8
2025-07-31T20:30:00,Sola/Science City,0,0,0,0,1,0.0,25.8
2025-07-31T20:30:00,Thaltej,0,0,0,0,0,0.0,25.8
2025-07-31T20:30:00,Vastrapur,0,0,0,0,1,0.0,25.8
2025-07-31T21:00:00,Ashram Road,0,0,0,0,2,1.2,29.4
2025-07-31T21:00:00,Bopal,0,0,0,0,2,1.2,29.4
2025-07-31T21:00:00,Ellis Bridge,0,0,0,0,2,1.2,29.4
2025-07-31T21:00:00,Gita Mandir,0,1,0,0,2,1.2,29.4
2025-07-31T21:00:00,Gota,0,0,0,0,2,1.2,29.4
2025-07-31T21:00:00,Hansol/Airport,0,0,0,0,2,1.2,29.4
2025-07-31T21:00:00,IIM-A,0,0,0,0,2,1.2,29.4
2025-07-31T21:00:00,Jivraj,0,0,0,0,2,1.2,29.4
2025-07-31T21:00:00,Kalupur,0,1,0,0,2,1.2,29.4
2025-07-31T21:00:00,Maninagar,0,0,0,0,2,1.2,29.4
2025-07-31T21:00:00,Memnagar,0,0,0,0,2,1.2,29.4
2025-07-31T21:00:00,Motera,0,0,0,0,2,1.2,29.4
2025-07-31T21:00:00,Navrangpura,0,0,1,0,2,1.2,29.4
2025-07-31T21:00:00,Old City,0,0,0,0,2,1.2,29.4
2025-07-31T21:00:00,Prahladnagar,0,0,1,0,2,1.2,29.4
2025-07-31T21:00:00,Riverfront,0,0,0,0,2,1.2,29.4
2025-07-31T21:00:00,SG Highway,0,0,1,0,2,1.2,29.4
2025-07-31T21:00:00,Shyamal,0,0,0,0,2,1.2,29.4
2025-07-31T21:00:00,Sindhu Bhavan,0,0,0,0,2,1.2,29.4
2025-07-31T21:00:00,Sola/Science City,0,0,0,0,2,1.2,29.4
